Open,High,Low,Close,Volume,Label
5260.0,5680.0,5240.0,5460.0,67130000.0,-1.0
5460.0,5460.0,5460.0,5460.0,0.0,1.0
6000.0,6290.0,5960.0,6160.0,83935000.0,1.0
6200.0,6410.0,6120.0,6300.0,50230000.0,1.0
6690.0,6900.0,6510.0,6620.0,84385000.0,1.0
6920.0,6980.0,6680.0,6740.0,48010000.0,-1.0
6740.0,6740.0,6740.0,6740.0,0.0,1.0
6600.0,6980.0,6510.0,6800.0,53365000.0,-1.0
6660.0,6960.0,6530.0,6530.0,58550000.0,1.0
6600.0,7040.0,6530.0,7020.0,63860000.0,1.0
7200.0,7280.0,7030.0,7190.0,49515000.0,-1.0
7060.0,7100.0,6870.0,7060.0,42495000.0,1.0
7230.0,7640.0,7090.0,7640.0,63020000.0,-1.0
7560.0,7560.0,7000.0,7000.0,61225000.0,-1.0
6900.0,6960.0,6710.0,6740.0,66455000.0,-1.0
6600.0,6950.0,6550.0,6700.0,53560000.0,1.0
6940.0,7180.0,6830.0,7140.0,59790000.0,-1.0
7300.0,7380.0,7070.0,7080.0,37585000.0,-1.0
7240.0,7270.0,6960.0,7040.0,33635000.0,-1.0
6980.0,7010.0,6860.0,7000.0,29215000.0,1.0
7100.0,7360.0,6990.0,7210.0,39980000.0,1.0
7320.0,7440.0,7190.0,7310.0,45535000.0,1.0
7220.0,7540.0,7220.0,7520.0,47295000.0,-1.0
7600.0,7740.0,7380.0,7490.0,61120000.0,-1.0
7440.0,7540.0,7290.0,7380.0,35250000.0,1.0
7440.0,7550.0,7420.0,7500.0,25975000.0,-1.0
7600.0,7620.0,7350.0,7350.0,32810000.0,1.0
7390.0,7520.0,7350.0,7430.0,24895000.0,-1.0
7240.0,7350.0,7180.0,7300.0,60340000.0,1.0
7340.0,7460.0,7230.0,7360.0,40580000.0,1.0
7440.0,7630.0,7410.0,7600.0,42505000.0,-1.0
7580.0,7740.0,7450.0,7450.0,34945000.0,1.0
7520.0,7660.0,7460.0,7640.0,40140000.0,1.0
7700.0,7880.0,7570.0,7760.0,48805000.0,-1.0
7780.0,7840.0,7540.0,7550.0,30425000.0,-1.0
7550.0,7550.0,7550.0,7550.0,0.0,-1.0
7550.0,7620.0,7440.0,7460.0,19605000.0,-1.0
7550.0,7620.0,7440.0,7460.0,19605000.0,-1.0
7060.0,7110.0,6840.0,6900.0,40315000.0,1.0
6960.0,7050.0,6760.0,6920.0,48395000.0,-1.0
6640.0,6740.0,6360.0,6380.0,49015000.0,-1.0
6310.0,6400.0,6120.0,6280.0,56735000.0,1.0
6400.0,6580.0,6360.0,6550.0,54745000.0,-1.0
6220.0,6360.0,6100.0,6230.0,43540000.0,-1.0
