Date,Open,High,Low,Close,Adj Close,Volume
2017-12-08,5130.0,5300.0,4430.0,4845.0,4449.67138671875,4161146
2017-12-11,4910.0,5140.0,4650.0,4930.0,4527.7353515625,508595
2017-12-12,4930.0,4990.0,4740.0,4780.0,4389.974609375,249244
2017-12-13,4745.0,4815.0,4605.0,4700.0,4316.50244140625,303636
2017-12-14,4655.0,4695.0,4625.0,4645.0,4265.99072265625,141253
2017-12-15,4645.0,4755.0,4605.0,4625.0,4247.6220703125,165812
2017-12-18,4630.0,4665.0,4450.0,4470.0,4105.26953125,168694
2017-12-19,4475.0,4490.0,4175.0,4235.0,3889.4443359375,270389
2017-12-21,4350.0,4350.0,4190.0,4240.0,3894.03662109375,121182
2017-12-22,4200.0,4400.0,4200.0,4240.0,3894.03662109375,120348
2017-12-26,4295.0,4295.0,4200.0,4265.0,3916.996337890625,120203
2017-12-27,4275.0,4500.0,4140.0,4235.0,3982.828369140625,296964
2017-12-28,4220.0,4290.0,4100.0,4100.0,3855.866943359375,250660
2018-01-03,4095.0,4170.0,4065.0,4120.0,3874.676025390625,131801
2018-01-04,4120.0,4320.0,4120.0,4195.0,3945.210205078125,251269
2018-01-05,4200.0,4265.0,4170.0,4240.0,3987.531005859375,108275
2018-01-08,4245.0,4350.0,4235.0,4265.0,4011.0419921875,101658
2018-01-09,4285.0,4290.0,4145.0,4190.0,3940.5078125,91252
2018-01-10,4185.0,4245.0,4095.0,4160.0,3912.294189453125,87638
2018-01-11,4160.0,4230.0,4100.0,4130.0,3884.08056640625,124299
2018-01-12,4195.0,4220.0,4010.0,4115.0,3869.9736328125,178943
2018-01-15,4165.0,4165.0,4040.0,4125.0,3879.37841796875,84341
2018-01-16,4115.0,4310.0,4095.0,4295.0,4039.255859375,189789
2018-01-17,4350.0,4355.0,4205.0,4270.0,4015.74462890625,114503
2018-01-18,4240.0,4455.0,4240.0,4455.0,4189.728515625,296360
2018-01-19,4480.0,4750.0,4410.0,4605.0,4330.796875,255145
2018-01-22,4610.0,4635.0,4420.0,4495.0,4227.34716796875,65228
2018-01-23,4455.0,4610.0,4400.0,4535.0,4264.96484375,86897
2018-01-24,4615.0,4615.0,4500.0,4535.0,4264.96484375,61534
2018-01-25,4535.0,4630.0,4450.0,4505.0,4236.75146484375,80065
2018-01-26,4550.0,4605.0,4505.0,4555.0,4283.77392578125,80229
2018-01-29,4670.0,4670.0,4560.0,4600.0,4326.0947265625,46350
2018-01-30,4645.0,4725.0,4560.0,4700.0,4420.14013671875,101015
2018-01-31,4730.0,4780.0,4650.0,4660.0,4382.521484375,69464
2018-02-01,4710.0,4710.0,4555.0,4620.0,4344.90380859375,109509
2018-02-02,4620.0,4680.0,4415.0,4450.0,4185.0263671875,61145
2018-02-05,4400.0,4540.0,4350.0,4475.0,4208.5380859375,31025
2018-02-06,4385.0,4490.0,4190.0,4480.0,4213.240234375,67257
2018-02-07,4495.0,4590.0,4305.0,4360.0,4100.38525390625,22597
