Date,Open,High,Low,Close,Adj Close,Volume
2019-10-18,4240.0,5510.0,4240.0,5510.0,5510.0,370645
2019-10-21,6970.0,7160.0,6670.0,7160.0,7160.0,21919889
2019-10-22,7700.0,9300.0,7290.0,8930.0,8930.0,39020768
2019-10-23,9780.0,10300.0,7510.0,7930.0,7930.0,28203889
2019-10-24,7700.0,9170.0,7320.0,7800.0,7800.0,34906548
2019-10-25,7900.0,8630.0,7120.0,7230.0,7230.0,13216860
2019-10-28,7360.0,7480.0,6700.0,6800.0,6800.0,3999829
2019-10-29,6790.0,7310.0,6660.0,6720.0,6720.0,4924940
2019-10-30,6890.0,8450.0,6830.0,8040.0,8040.0,30865340
2019-10-31,7920.0,8430.0,7460.0,7720.0,7720.0,13582989
2019-11-01,8170.0,8500.0,7820.0,7860.0,7860.0,10639517
2019-11-04,7720.0,7940.0,7640.0,7780.0,7780.0,2320413
2019-11-05,7660.0,7780.0,7360.0,7480.0,7480.0,2385962
2019-11-06,7450.0,7860.0,7250.0,7380.0,7380.0,2885140
2019-11-07,7380.0,7540.0,7280.0,7280.0,7280.0,1325422
2019-11-08,7290.0,7430.0,7220.0,7240.0,7240.0,988867
2019-11-11,7220.0,7350.0,7080.0,7300.0,7300.0,1083346
2019-11-12,7280.0,7590.0,7190.0,7590.0,7590.0,1688553
2019-11-13,7770.0,8080.0,7610.0,7930.0,7930.0,3471460
2019-11-15,8130.0,9800.0,8060.0,8840.0,8840.0,35194759
2019-11-18,9170.0,9700.0,8900.0,9100.0,9100.0,10168101
2019-11-19,9000.0,9440.0,8720.0,9410.0,9410.0,10421946
2019-11-20,9590.0,10100.0,9000.0,9000.0,9000.0,8425856
2019-11-21,8890.0,9180.0,8590.0,8620.0,8620.0,2539869
2019-11-22,8560.0,8710.0,8200.0,8450.0,8450.0,2155017
2019-11-25,8340.0,8740.0,8340.0,8630.0,8630.0,1953991
2019-11-26,8620.0,8890.0,8410.0,8890.0,8890.0,1533757
2019-11-27,8890.0,8950.0,8600.0,8600.0,8600.0,1252307
2019-11-28,8570.0,8570.0,8270.0,8280.0,8280.0,1292199
2019-11-29,8340.0,8340.0,7800.0,7870.0,7870.0,1405419
2019-12-02,7780.0,8480.0,7780.0,7990.0,7990.0,1911350
2019-12-03,7700.0,8740.0,7690.0,8310.0,8310.0,7217850
2019-12-04,8170.0,8240.0,7890.0,7890.0,7890.0,1289983
2019-12-05,7880.0,8120.0,7670.0,7940.0,7940.0,1106757
2019-12-06,7880.0,8450.0,7850.0,7860.0,7860.0,3404472
2019-12-09,7860.0,8110.0,7810.0,7810.0,7810.0,787698
2019-12-10,7810.0,8380.0,7810.0,7960.0,7960.0,2727967
2019-12-11,8010.0,8300.0,7970.0,8290.0,8290.0,1228865
2019-12-12,8340.0,8340.0,8160.0,8190.0,8190.0,874411
2019-12-13,8350.0,8530.0,8270.0,8300.0,8300.0,1400154
2019-12-16,8420.0,8850.0,8350.0,8570.0,8570.0,2952182
2019-12-17,8700.0,8760.0,8150.0,8150.0,8150.0,1804612
2019-12-18,8250.0,8390.0,8150.0,8270.0,8270.0,972717
2019-12-19,8250.0,8400.0,8250.0,8290.0,8290.0,621829
2019-12-20,8340.0,8430.0,8260.0,8320.0,8320.0,541234
2019-12-23,8350.0,8390.0,8150.0,8280.0,8280.0,473433
