Date,Open,High,Low,Close,Adj Close,Volume
2021-05-11,210000.0,222500.0,154000.0,154500.0,154500.0,11320278
2021-05-12,152000.0,160000.0,141000.0,147500.0,147500.0,4973674
2021-05-13,145500.0,149500.0,142500.0,144000.0,144000.0,1853703
2021-05-14,146500.0,148000.0,140000.0,141000.0,141000.0,1510892
2021-05-17,142500.0,143000.0,138000.0,138000.0,138000.0,931047
2021-05-18,139000.0,146500.0,138500.0,144000.0,144000.0,1474901
2021-05-20,145000.0,146500.0,141000.0,142000.0,142000.0,585820
2021-05-21,144000.0,145000.0,142000.0,143500.0,143500.0,468288
2021-05-24,144500.0,145000.0,141000.0,142500.0,142500.0,368061
2021-05-25,143500.0,144000.0,141000.0,142000.0,142000.0,300026
2021-05-26,141000.0,142000.0,140500.0,141500.0,141500.0,298091
2021-05-27,141500.0,144500.0,141500.0,142000.0,142000.0,298994
2021-05-28,143000.0,146500.0,142000.0,145000.0,145000.0,716415
2021-05-31,145500.0,149000.0,145500.0,149000.0,149000.0,628140
2021-06-01,149500.0,151000.0,147500.0,150000.0,150000.0,497546
2021-06-02,151000.0,151000.0,147000.0,149500.0,149500.0,397954
2021-06-03,149500.0,150500.0,148000.0,149500.0,149500.0,294278
2021-06-04,149000.0,149500.0,147000.0,147500.0,147500.0,276515
2021-06-07,148000.0,148500.0,143000.0,143000.0,143000.0,469107
2021-06-08,142000.0,144000.0,141500.0,143000.0,143000.0,243816
2021-06-09,143000.0,143500.0,142000.0,142000.0,142000.0,223769
2021-06-10,142000.0,144500.0,141500.0,142500.0,142500.0,493039
2021-06-11,141500.0,157500.0,139500.0,157500.0,157500.0,1458033
2021-06-14,151500.0,153000.0,148000.0,148000.0,148000.0,740629
2021-06-15,149000.0,151500.0,148500.0,149500.0,149500.0,417175
2021-06-16,149000.0,153000.0,148000.0,152000.0,152000.0,476285
2021-06-17,151500.0,157000.0,150000.0,156000.0,156000.0,648454
2021-06-18,156500.0,159500.0,154500.0,158000.0,158000.0,622211
2021-06-21,156500.0,160500.0,155500.0,158500.0,158500.0,431581
2021-06-22,160000.0,160500.0,156000.0,159000.0,159000.0,343775
2021-06-23,159000.0,167500.0,157000.0,166500.0,166500.0,1317043
2021-06-24,167000.0,173500.0,165000.0,168500.0,168500.0,907775
2021-06-25,170500.0,175000.0,169500.0,172500.0,172500.0,795885
2021-06-28,174000.0,177000.0,166000.0,167000.0,167000.0,702510
